"","TIME","value","date_time","week","week_num","type","date"
"1",48701,703.71605721519,2010-05-02 00:00:00,"Saturday",6,"Residential",2010-05-01
"2",48702,523.362583291139,2010-05-02 00:30:00,"Saturday",6,"Residential",2010-05-01
"3",48703,430.694509493671,2010-05-02 01:00:00,"Sunday",7,"Residential",2010-05-02
"4",48704,411.656195443038,2010-05-02 01:30:00,"Sunday",7,"Residential",2010-05-02
"5",48705,345.21126278481,2010-05-02 02:00:00,"Sunday",7,"Residential",2010-05-02
"6",48706,321.445538734177,2010-05-02 02:30:00,"Sunday",7,"Residential",2010-05-02
"7",48707,336.711275443038,2010-05-02 03:00:00,"Sunday",7,"Residential",2010-05-02
"8",48708,299.66848329114,2010-05-02 03:30:00,"Sunday",7,"Residential",2010-05-02
"9",48709,320.025848734177,2010-05-02 04:00:00,"Sunday",7,"Residential",2010-05-02
"10",48710,386.511893291139,2010-05-02 04:30:00,"Sunday",7,"Residential",2010-05-02
"11",48711,717.624263417721,2010-05-02 05:00:00,"Sunday",7,"Residential",2010-05-02
"12",48712,1334.55416177215,2010-05-02 05:30:00,"Sunday",7,"Residential",2010-05-02
"13",48713,2444.89266949367,2010-05-02 06:00:00,"Sunday",7,"Residential",2010-05-02
"14",48714,3368.6893878481,2010-05-02 06:30:00,"Sunday",7,"Residential",2010-05-02
"15",48715,3783.26826645569,2010-05-02 07:00:00,"Sunday",7,"Residential",2010-05-02
"16",48716,3524.8735643038,2010-05-02 07:30:00,"Sunday",7,"Residential",2010-05-02
"17",48717,3130.06894063291,2010-05-02 08:00:00,"Sunday",7,"Residential",2010-05-02
"18",48718,2468.79859202532,2010-05-02 08:30:00,"Sunday",7,"Residential",2010-05-02
"19",48719,2096.06375316456,2010-05-02 09:00:00,"Sunday",7,"Residential",2010-05-02
"20",48720,1948.47554088607,2010-05-02 09:30:00,"Sunday",7,"Residential",2010-05-02
"21",48721,1806.12541468354,2010-05-02 10:00:00,"Sunday",7,"Residential",2010-05-02
"22",48722,1780.15272582278,2010-05-02 10:30:00,"Sunday",7,"Residential",2010-05-02
"23",48723,1786.47693443038,2010-05-02 11:00:00,"Sunday",7,"Residential",2010-05-02
"24",48724,1955.78526050633,2010-05-02 11:30:00,"Sunday",7,"Residential",2010-05-02
"25",48725,2221.87636329114,2010-05-02 12:00:00,"Sunday",7,"Residential",2010-05-02
"26",48726,2430.46502683545,2010-05-02 12:30:00,"Sunday",7,"Residential",2010-05-02
"27",48727,2648.84155582278,2010-05-02 13:00:00,"Sunday",7,"Residential",2010-05-02
"28",48728,2696.36567253165,2010-05-02 13:30:00,"Sunday",7,"Residential",2010-05-02
"29",48729,2654.91791632912,2010-05-02 14:00:00,"Sunday",7,"Residential",2010-05-02
"30",48730,2804.88738772152,2010-05-02 14:30:00,"Sunday",7,"Residential",2010-05-02
"31",48731,3113.14832556962,2010-05-02 15:00:00,"Sunday",7,"Residential",2010-05-02
"32",48732,3445.3431478481,2010-05-02 15:30:00,"Sunday",7,"Residential",2010-05-02
"33",48733,4085.45242177215,2010-05-02 16:00:00,"Sunday",7,"Residential",2010-05-02
"34",48734,4997.49034075949,2010-05-02 16:30:00,"Sunday",7,"Residential",2010-05-02
"35",48735,5662.2910249367,2010-05-02 17:00:00,"Sunday",7,"Residential",2010-05-02
"36",48736,5647.85463569619,2010-05-02 17:30:00,"Sunday",7,"Residential",2010-05-02
"37",48737,5696.92707177216,2010-05-02 18:00:00,"Sunday",7,"Residential",2010-05-02
"38",48738,5411.7500778481,2010-05-02 18:30:00,"Sunday",7,"Residential",2010-05-02
"39",48739,5219.41415202532,2010-05-02 19:00:00,"Sunday",7,"Residential",2010-05-02
"40",48740,4914.97730835443,2010-05-02 19:30:00,"Sunday",7,"Residential",2010-05-02
"41",48741,4661.29886696202,2010-05-02 20:00:00,"Sunday",7,"Residential",2010-05-02
"42",48742,4397.94163012659,2010-05-02 20:30:00,"Sunday",7,"Residential",2010-05-02
"43",48743,3976.21287316456,2010-05-02 21:00:00,"Sunday",7,"Residential",2010-05-02
"44",48744,3471.19298873418,2010-05-02 21:30:00,"Sunday",7,"Residential",2010-05-02
"45",48745,2617.76822126583,2010-05-02 22:00:00,"Sunday",7,"Residential",2010-05-02
"46",48746,1911.89497063291,2010-05-02 22:30:00,"Sunday",7,"Residential",2010-05-02
"47",48747,1255.32990759494,2010-05-02 23:00:00,"Sunday",7,"Residential",2010-05-02
"48",48748,888.047805063291,2010-05-02 23:30:00,"Sunday",7,"Residential",2010-05-02
"49",48801,574.918103037975,2010-05-03 00:00:00,"Sunday",7,"Residential",2010-05-02
"50",48802,394.975750506329,2010-05-03 00:30:00,"Sunday",7,"Residential",2010-05-02
"51",48803,309.248355443038,2010-05-03 01:00:00,"Monday",1,"Residential",2010-05-03
"52",48804,308.202786708861,2010-05-03 01:30:00,"Monday",1,"Residential",2010-05-03
"53",48805,268.143216582279,2010-05-03 02:00:00,"Monday",1,"Residential",2010-05-03
"54",48806,245.629199873418,2010-05-03 02:30:00,"Monday",1,"Residential",2010-05-03
"55",48807,291.230498607595,2010-05-03 03:00:00,"Monday",1,"Residential",2010-05-03
"56",48808,241.505335316456,2010-05-03 03:30:00,"Monday",1,"Residential",2010-05-03
"57",48809,237.052219113924,2010-05-03 04:00:00,"Monday",1,"Residential",2010-05-03
"58",48810,337.119493164557,2010-05-03 04:30:00,"Monday",1,"Residential",2010-05-03
"59",48811,690.473758987341,2010-05-03 05:00:00,"Monday",1,"Residential",2010-05-03
"60",48812,1234.03948227848,2010-05-03 05:30:00,"Monday",1,"Residential",2010-05-03
"61",48813,2257.06521088608,2010-05-03 06:00:00,"Monday",1,"Residential",2010-05-03
"62",48814,3317.66185620253,2010-05-03 06:30:00,"Monday",1,"Residential",2010-05-03
"63",48815,3572.31118151899,2010-05-03 07:00:00,"Monday",1,"Residential",2010-05-03
"64",48816,3161.67146101266,2010-05-03 07:30:00,"Monday",1,"Residential",2010-05-03
"65",48817,2647.34406772152,2010-05-03 08:00:00,"Monday",1,"Residential",2010-05-03
"66",48818,1960.05778594937,2010-05-03 08:30:00,"Monday",1,"Residential",2010-05-03
"67",48819,1603.04815493671,2010-05-03 09:00:00,"Monday",1,"Residential",2010-05-03
"68",48820,1320.64821012658,2010-05-03 09:30:00,"Monday",1,"Residential",2010-05-03
"69",48821,1192.30464556962,2010-05-03 10:00:00,"Monday",1,"Residential",2010-05-03
"70",48822,1225.15066683544,2010-05-03 10:30:00,"Monday",1,"Residential",2010-05-03
"71",48823,1212.86434544304,2010-05-03 11:00:00,"Monday",1,"Residential",2010-05-03
"72",48824,1208.25648632911,2010-05-03 11:30:00,"Monday",1,"Residential",2010-05-03
"73",48825,1490.47532670886,2010-05-03 12:00:00,"Monday",1,"Residential",2010-05-03
"74",48826,1537.05364126582,2010-05-03 12:30:00,"Monday",1,"Residential",2010-05-03
"75",48827,1569.72161189873,2010-05-03 13:00:00,"Monday",1,"Residential",2010-05-03
"76",48828,1539.35224151899,2010-05-03 13:30:00,"Monday",1,"Residential",2010-05-03
"77",48829,1593.5526521519,2010-05-03 14:00:00,"Monday",1,"Residential",2010-05-03
"78",48830,1805.9100364557,2010-05-03 14:30:00,"Monday",1,"Residential",2010-05-03
"79",48831,2248.71925797468,2010-05-03 15:00:00,"Monday",1,"Residential",2010-05-03
"80",48832,2785.28583177216,2010-05-03 15:30:00,"Monday",1,"Residential",2010-05-03
"81",48833,3428.72564708861,2010-05-03 16:00:00,"Monday",1,"Residential",2010-05-03
"82",48834,4381.20786797468,2010-05-03 16:30:00,"Monday",1,"Residential",2010-05-03
"83",48835,5029.3186564557,2010-05-03 17:00:00,"Monday",1,"Residential",2010-05-03
"84",48836,5119.24528721519,2010-05-03 17:30:00,"Monday",1,"Residential",2010-05-03
"85",48837,5146.95614025316,2010-05-03 18:00:00,"Monday",1,"Residential",2010-05-03
"86",48838,4869.90733265823,2010-05-03 18:30:00,"Monday",1,"Residential",2010-05-03
"87",48839,4750.69896468354,2010-05-03 19:00:00,"Monday",1,"Residential",2010-05-03
"88",48840,4504.39979101265,2010-05-03 19:30:00,"Monday",1,"Residential",2010-05-03
"89",48841,4381.8024086076,2010-05-03 20:00:00,"Monday",1,"Residential",2010-05-03
"90",48842,4007.69079075949,2010-05-03 20:30:00,"Monday",1,"Residential",2010-05-03
"91",48843,3639.82624810127,2010-05-03 21:00:00,"Monday",1,"Residential",2010-05-03
"92",48844,3223.91789430379,2010-05-03 21:30:00,"Monday",1,"Residential",2010-05-03
"93",48845,2429.83464177215,2010-05-03 22:00:00,"Monday",1,"Residential",2010-05-03
"94",48846,1696.66466481013,2010-05-03 22:30:00,"Monday",1,"Residential",2010-05-03
"95",48847,1189.81725050633,2010-05-03 23:00:00,"Monday",1,"Residential",2010-05-03
"96",48848,817.41856721519,2010-05-03 23:30:00,"Monday",1,"Residential",2010-05-03
"97",48901,567.303906708861,2010-05-04 00:00:00,"Monday",1,"Residential",2010-05-03
"98",48902,388.411097848101,2010-05-04 00:30:00,"Monday",1,"Residential",2010-05-03
"99",48903,281.813258987342,2010-05-04 01:00:00,"Tuesday",2,"Residential",2010-05-04
"100",48904,232.851778481013,2010-05-04 01:30:00,"Tuesday",2,"Residential",2010-05-04
"101",48905,236.349382658228,2010-05-04 02:00:00,"Tuesday",2,"Residential",2010-05-04
"102",48906,234.572646708861,2010-05-04 02:30:00,"Tuesday",2,"Residential",2010-05-04
"103",48907,268.870414177215,2010-05-04 03:00:00,"Tuesday",2,"Residential",2010-05-04
"104",48908,211.105782911392,2010-05-04 03:30:00,"Tuesday",2,"Residential",2010-05-04
"105",48909,233.500062405063,2010-05-04 04:00:00,"Tuesday",2,"Residential",2010-05-04
"106",48910,386.162999113924,2010-05-04 04:30:00,"Tuesday",2,"Residential",2010-05-04
"107",48911,668.018739240506,2010-05-04 05:00:00,"Tuesday",2,"Residential",2010-05-04
"108",48912,1248.49865063291,2010-05-04 05:30:00,"Tuesday",2,"Residential",2010-05-04
"109",48913,2272.56438063291,2010-05-04 06:00:00,"Tuesday",2,"Residential",2010-05-04
"110",48914,3238.75486810126,2010-05-04 06:30:00,"Tuesday",2,"Residential",2010-05-04
"111",48915,3560.43155772152,2010-05-04 07:00:00,"Tuesday",2,"Residential",2010-05-04
"112",48916,3216.30545810127,2010-05-04 07:30:00,"Tuesday",2,"Residential",2010-05-04
"113",48917,2636.33785962025,2010-05-04 08:00:00,"Tuesday",2,"Residential",2010-05-04
"114",48918,1985.22460265823,2010-05-04 08:30:00,"Tuesday",2,"Residential",2010-05-04
"115",48919,1769.5338235443,2010-05-04 09:00:00,"Tuesday",2,"Residential",2010-05-04
"116",48920,1529.01269189873,2010-05-04 09:30:00,"Tuesday",2,"Residential",2010-05-04
"117",48921,1380.10928075949,2010-05-04 10:00:00,"Tuesday",2,"Residential",2010-05-04
"118",48922,1365.03738848101,2010-05-04 10:30:00,"Tuesday",2,"Residential",2010-05-04
